"","person_income","person_home_ownership","loan_grade","loan_amnt","loan_status","loan_percent_income","cb_person_default_on_file","emp_cat","ir_cat"
"1",59000,"RENT","Other",35000,1,0.59,"Y","45+","13.5+"
"2",9600,"OTHER","B",1000,0,0.1,"N","0-15","11-13.5"
"3",9600,"MORTGAGE","C",5500,1,0.57,"N","0-15","11-13.5"
"4",65500,"RENT","C",35000,1,0.53,"N","0-15","13.5+"
"5",54400,"RENT","C",35000,1,0.55,"Y","0-15","13.5+"
"6",9900,"OTHER","A",2500,1,0.25,"N","0-15","0-8"
"7",77100,"RENT","B",35000,1,0.45,"N","0-15","11-13.5"
"8",78956,"RENT","B",35000,1,0.44,"N","0-15","11-13.5"
"9",83000,"RENT","A",35000,1,0.42,"N","0-15","8-11"
"10",10000,"OTHER","Other",1600,1,0.16,"N","0-15","13.5+"
"11",85000,"RENT","B",35000,1,0.41,"N","0-15","8-11"
"12",10000,"OTHER","A",4500,1,0.45,"N","0-15","8-11"
"13",95000,"RENT","A",35000,1,0.37,"N","0-15","0-8"
"14",108160,"RENT","Other",35000,1,0.32,"N","0-15","13.5+"
"15",115000,"RENT","A",35000,0,0.3,"N","0-15","0-8"
"16",5e+05,"MORTGAGE","B",30000,0,0.06,"N","0-15","8-11"
"17",120000,"RENT","A",35000,0,0.29,"N","0-15","0-8"
"18",92111,"RENT","Other",35000,1,0.32,"N","0-15","13.5+"
"19",113000,"RENT","Other",35000,1,0.31,"N","0-15","13.5+"
"20",10800,"MORTGAGE","B",1750,1,0.16,"N","0-15","8-11"
"21",162500,"RENT","A",35000,0,0.22,"N","0-15","0-8"
"22",137000,"RENT","Other",34800,0,0.25,"Y","0-15","13.5+"
"23",65000,"RENT","Other",34000,1,0.52,"N","0-15","13.5+"
"24",10980,"OTHER","A",1500,0,0.14,"N","0-15","0-8"
"25",80000,"RENT","Other",33950,1,0.42,"Y","0-15","13.5+"
"26",67746,"RENT","C",33000,1,0.49,"N","0-15","11-13.5"
"27",11000,"MORTGAGE","Other",4575,1,0.42,"Y","0-15","13.5+"
"28",11000,"OTHER","A",1400,0,0.13,"N","0-15","8-11"
"29",65000,"RENT","B",32500,1,0.5,"N","0-15","8-11"
"30",11389,"OTHER","C",4000,1,0.35,"Y","0-15","11-13.5"
"31",11520,"OTHER","B",2000,1,0.17,"N","0-15","11-13.5"
"32",120000,"RENT","A",32000,0,0.27,"N","0-15","0-8"
"33",95000,"RENT","C",31050,1,0.33,"Y","0-15","13.5+"
"34",306000,"RENT","C",24250,0,0.08,"N","0-15","13.5+"
"35",3e+05,"MORTGAGE","C",7800,0,0.03,"N","0-15","11-13.5"
"36",12000,"OTHER","A",2500,1,0.21,"N","0-15","0-8"
"37",48000,"RENT","Other",30000,1,0.63,"N","0-15","13.5+"
"38",64000,"RENT","Other",30000,1,0.47,"Y","0-15","13.5+"
"39",75000,"RENT","Other",30000,1,0.4,"Y","0-15","13.5+"
"40",71500,"RENT","Other",30000,1,0.42,"N","0-15","Missing"
"41",62050,"RENT","Other",30000,1,0.41,"N","0-15","13.5+"
"42",12000,"OTHER","B",2500,1,0.21,"N","0-15","11-13.5"
"43",3e+05,"MORTGAGE","A",20000,0,0.07,"N","0-15","0-8"
"44",3e+05,"OTHER","Other",24250,0,0.08,"Y","0-15","13.5+"
"45",3e+05,"OTHER","B",10000,0,0.03,"N","0-15","8-11"
"46",3e+05,"MORTGAGE","Other",25000,0,0.08,"N","0-15","13.5+"
"47",3e+05,"MORTGAGE","Other",18000,0,0.06,"N","0-15","13.5+"
"48",80690,"RENT","A",30000,1,0.37,"N","0-15","0-8"
"49",66300,"RENT","B",30000,1,0.38,"N","0-15","11-13.5"
"50",89028,"RENT","A",30000,1,0.34,"N","0-15","0-8"
"51",78000,"RENT","Other",30000,1,0.38,"Y","0-15","Missing"
"52",78000,"RENT","Other",30000,1,0.38,"Y","0-15","13.5+"
"53",92004,"RENT","C",30000,1,0.33,"Y","0-15","13.5+"
"54",97000,"RENT","B",30000,1,0.31,"N","0-15","8-11"
"55",120000,"RENT","A",30000,0,0.25,"N","0-15","0-8"
"56",280000,"RENT","C",10000,0,0.04,"Y","0-15","13.5+"
"57",277104,"RENT","B",20000,0,0.07,"N","0-15","11-13.5"
"58",277000,"OTHER","A",35000,0,0.13,"N","0-15","Missing"
"59",128000,"RENT","A",30000,0,0.23,"N","0-15","0-8"
"60",12000,"OTHER","Other",1750,0,0.15,"Y","0-15","Missing"
"61",131000,"RENT","A",30000,0,0.23,"N","0-15","0-8"
"62",275000,"OTHER","B",12000,0,0.04,"N","0-15","11-13.5"
"63",263000,"MORTGAGE","B",10000,1,0.04,"N","0-15","Missing"
"64",221850,"MORTGAGE","Other",25000,1,0.1,"N","0-15","13.5+"
"65",70000,"RENT","Other",29100,1,0.42,"N","0-15","13.5+"
"66",12000,"MORTGAGE","Other",1500,0,0.13,"Y","0-15","13.5+"
"67",260000,"OTHER","B",28000,0,0.11,"N","0-15","8-11"
"68",259000,"MORTGAGE","Other",20000,0,0.08,"Y","0-15","13.5+"
"69",255000,"MORTGAGE","A",9600,0,0.04,"N","0-15","0-8"
"70",250000,"RENT","C",25000,0,0.1,"N","0-15","11-13.5"
"71",12000,"OTHER","C",3000,1,0.25,"N","0-15","Missing"
"72",56950,"RENT","A",28000,1,0.49,"N","0-15","Missing"
"73",12000,"OTHER","C",3000,1,0.25,"Y","0-15","13.5+"
"74",65000,"RENT","A",28000,1,0.43,"N","0-15","0-8"
"75",85000,"RENT","A",28000,1,0.33,"N","0-15","0-8"
"76",12000,"OTHER","A",6100,1,0.51,"N","0-15","0-8"
"77",88000,"RENT","B",28000,1,0.32,"N","0-15","8-11"
"78",12000,"OTHER","C",4200,1,0.35,"Y","0-15","11-13.5"
"79",12000,"OTHER","A",4750,1,0.4,"N","0-15","0-8"
"80",83004,"RENT","Other",28000,1,0.34,"Y","0-15","13.5+"
"81",250000,"RENT","C",18000,0,0.07,"Y","0-15","11-13.5"
"82",1e+05,"RENT","B",28000,0,0.28,"N","0-15","11-13.5"
"83",110000,"RENT","A",28000,0,0.25,"N","0-15","8-11"
"84",12000,"OTHER","A",2700,1,0.23,"N","0-15","Missing"
"85",108000,"RENT","B",28000,1,0.26,"N","0-15","Missing"
"86",151200,"RENT","B",28000,0,0.19,"N","0-15","11-13.5"
"87",69000,"RENT","A",27600,1,0.4,"N","0-15","Missing"
"88",12000,"MORTGAGE","Other",3250,1,0.27,"Y","0-15","13.5+"
"89",70000,"RENT","C",27500,1,0.39,"Y","0-15","11-13.5"
"90",240000,"OTHER","B",25000,0,0.1,"N","0-15","Missing"
"91",73200,"RENT","Other",27050,1,0.37,"Y","0-15","13.5+"
"92",83000,"RENT","C",27000,1,0.33,"Y","0-15","11-13.5"
"93",73399,"RENT","Other",27000,1,0.37,"N","0-15","Missing"
"94",62500,"RENT","B",26000,1,0.42,"N","0-15","11-13.5"
"95",120000,"RENT","B",25600,0,0.21,"N","0-15","11-13.5"
"96",12360,"OTHER","C",1600,0,0.13,"N","0-15","13.5+"
"97",60000,"RENT","B",25475,1,0.42,"N","0-15","8-11"
"98",234000,"MORTGAGE","C",20000,0,0.09,"Y","0-15","13.5+"
"99",234000,"OTHER","B",20000,0,0.09,"N","0-15","8-11"
"100",234000,"MORTGAGE","B",21600,0,0.09,"N","0-15","11-13.5"
"101",221004,"MORTGAGE","Other",11900,1,0.05,"Y","0-15","13.5+"
"102",232500,"MORTGAGE","C",25000,0,0.11,"Y","0-15","13.5+"
"103",230000,"MORTGAGE","C",35000,0,0.15,"N","0-15","13.5+"
"104",83000,"RENT","B",25300,1,0.3,"N","0-15","8-11"
"105",12600,"MORTGAGE","A",2000,1,0.16,"N","Missing","0-8"
"106",12600,"OTHER","C",1750,0,0.14,"N","0-15","13.5+"
"107",42500,"RENT","C",25000,1,0.59,"Y","0-15","11-13.5"
"108",41000,"RENT","Other",25000,1,0.61,"N","0-15","Missing"
"109",12816,"OTHER","C",3000,1,0.23,"Y","0-15","11-13.5"
"110",12960,"MORTGAGE","B",3650,1,0.28,"N","0-15","8-11"
"111",226000,"MORTGAGE","B",20000,0,0.09,"N","0-15","11-13.5"
"112",225000,"MORTGAGE","Other",30000,0,0.13,"Y","0-15","13.5+"
"113",213000,"MORTGAGE","B",35000,1,0.16,"N","0-15","8-11"
"114",225000,"RENT","B",6000,0,0.03,"N","0-15","Missing"
"115",12960,"MORTGAGE","B",4500,1,0.35,"N","0-15","11-13.5"
"116",12996,"OTHER","C",2400,1,0.18,"Y","0-15","11-13.5"
"117",42000,"RENT","Other",25000,1,0.6,"Y","0-15","13.5+"
